oasis ids,period 1,period 2,period 3,period 4,period 5,period 6,period 7,period 8,period 9,period 10,period 11,period 12,Text files
archaeol7-182064,early iron age,roman,,,,,,,,,,,
archaeol7-191056,early iron age,early medieval,medieval,roman,,,,,,,,,
archaeol7-203845,early iron age,late bronze age,,,,,,,,,,,
archaeol7-246345,early iron age,post medieval,roman,,,,,,,,,,
archaeol7-256952,early iron age,,,,,,,,,,,,
archaeol7-284139,early iron age,post medieval,,,,,,,,,,,
cambridg1-45206,early iron age,iron age,,,,,,,,,,,
cambridg3-139491,early iron age,late bronze age,middle bronze age,,,,,,,,,,
cambridg3-151115,early iron age,early medieval,medieval,,,,,,,,,,
cambridg3-36481,early iron age,iron age,middle iron age,,,,,,,,,,
cambridg3-72964,early iron age,iron age,roman,,,,,,,,,,
cambridg3-96423,early iron age,iron age,middle iron age,,,,,,,,,,
cambridg3-99479,early iron age,early neolithic,iron age,middle iron age,,,,,,,,,
cfaarcha1-266722,early iron age,iron age,later prehistoric,medieval,,,,,,,,,
cotswold2-205700,early iron age,early medieval,late bronze age,roman,,,,,,,,,
cotswold2-234639,early iron age,late bronze age,medieval,,,,,,,,,,
cotswold2-99272,early iron age,late bronze age,,,,,,,,,,,
cotswold2-99274,early iron age,late bronze age,,,,,,,,,,,
essexcou1-5166,early iron age,post medieval,,,,,,,,,,,
essexcou1-56316,early iron age,post medieval,,,,,,,,,,,
fieldsec1-307992,early iron age,late bronze age,late iron age,,,,,,,,,,
fieldsec1-66118,early iron age,early neolithic,late bronze age,later prehistoric,medieval,post medieval,roman,,,,,,
heritage1-19089,early iron age,,,,,,,,,,,,
johnmoor1-135088,early iron age,early medieval,late bronze age,post medieval,roman,,,,,,,,
johnnewm1-207092,early iron age,post medieval,,,,,,,,,,,
molanort1-199968,early iron age,medieval,,,,,,,,,,,
molanort1-225166,early iron age,,,,,,,,,,,,
molanort1-237527,early iron age,middle bronze age,,,,,,,,,,,
molanort1-267877,early iron age,middle iron age,,,,,,,,,,,
molas1-48660,early iron age,late bronze age,medieval,neolithic,,,,,,,,,
norfolka1-144137,early iron age,late neolithic,later prehistoric,mesolithic,post medieval,roman,,,,,,,
norfolka1-16657,early iron age,iron age,later prehistoric,medieval,,,,,,,,,
norfolka1-84749,early iron age,later prehistoric,,,,,,,,,,,
northamp3-124871,early iron age,middle iron age,,,,,,,,,,,
northamp3-126420,early iron age,middle iron age,roman,,,,,,,,,,
northamp3-159934,early iron age,roman,,,,,,,,,,,
northamp3-159997,early iron age,,,,,,,,,,,,
northamp3-161012,early iron age,early medieval,iron age,roman,,,,,,,,,
northamp3-32453,early iron age,medieval,,,,,,,,,,,
northamp3-50920,early iron age,middle iron age,roman,,,,,,,,,,
oxfordar1-52900,early iron age,post medieval,roman,,,,,,,,,,
oxfordar1-62612,early iron age,,,,,,,,,,,,
preconst1-116531,early iron age,iron age,,,,,,,,,,,
preconst1-152669,early iron age,,,,,,,,,,,,
preconst1-210813,early iron age,,,,,,,,,,,,
preconst1-221622,early iron age,late bronze age,later prehistoric,middle bronze age,,,,,,,,,
preconst1-41903,early iron age,,,,,,,,,,,,
preconst1-7709,early iron age,middle bronze age,roman,,,,,,,,,,
suffolkc1-12897,early iron age,,,,,,,,,,,,
suffolkc1-13259,early iron age,post medieval,,,,,,,,,,,
suffolkc1-18623,early iron age,,,,,,,,,,,,
suffolkc1-45463,early iron age,medieval,post medieval,,,,,,,,,,
suffolkc1-56856,early iron age,,,,,,,,,,,,
suffolkc1-67234,early iron age,middle iron age,post medieval,,,,,,,,,,
terraina1-36894,early iron age,,,,,,,,,,,,
thamesva1-178069,early iron age,iron age,middle iron age,,,,,,,,,,
thamesva1-252486,early iron age,,,,,,,,,,,,
thamesva1-91958,early iron age,late bronze age,,,,,,,,,,,
universi1-13855,early iron age,,,,,,,,,,,,
universi1-93158,early iron age,late bronze age,middle iron age,,,,,,,,,,
wardella2-148277,early iron age,late bronze age,,,,,,,,,,,
wessexar1-155396,early iron age,early medieval,early neolithic,iron age,late iron age,later prehistoric,medieval,middle iron age,post medieval,roman,,,
wessexar1-165242,early iron age,,,,,,,,,,,,
wessexar1-78355,early iron age,late bronze age,,,,,,,,,,,
wessexar1-91248,early iron age,late bronze age,middle bronze age,roman,,,,,,,,,
acarchae2-116356,early medieval,medieval,post medieval,,,,,,,,,,
acarchae2-138769,early medieval,,,,,,,,,,,,
acarchae2-205026,early medieval,medieval,,,,,,,,,,,
acarchae2-215082,early medieval,iron age,,,,,,,,,,,
accessca1-158450,early medieval,medieval,post medieval,roman,,,,,,,,,
aeonarch1-165118,early medieval,post medieval,,,,,,,,,,,
albionar1-100648,early medieval,medieval,roman,,,,,,,,,,
albionar1-101931,early medieval,post medieval,,,,,,,,,,,
albionar1-109181,early medieval,,,,,,,,,,,,
albionar1-131265,early medieval,post medieval,,,,,,,,,,,
albionar1-142834,early medieval,post medieval,,,,,,,,,,,
albionar1-144487,early medieval,medieval,,,,,,,,,,,
albionar1-150718,early medieval,medieval,,,,,,,,,,,
albionar1-154100,early medieval,,,,,,,,,,,,
albionar1-176124,early medieval,middle iron age,,,,,,,,,,,
albionar1-177354,early medieval,,,,,,,,,,,,
albionar1-197967,early medieval,,,,,,,,,,,,
albionar1-208209,early medieval,roman,,,,,,,,,,,
albionar1-23333,early medieval,medieval,,,,,,,,,,,
albionar1-27268,early medieval,medieval,middle iron age,post medieval,,,,,,,,,
albionar1-28503,early medieval,middle iron age,roman,,,,,,,,,,
albionar1-30601,early medieval,,,,,,,,,,,,
albionar1-41354,early medieval,late iron age,,,,,,,,,,,
albionar1-44889,early medieval,iron age,post medieval,roman,,,,,,,,,
albionar1-84614,early medieval,medieval,,,,,,,,,,,
alderarc1-156671,early medieval,,,,,,,,,,,,
alderarc1-80395,early medieval,post medieval,,,,,,,,,,,
alderarc1-81904,early medieval,,,,,,,,,,,,
allenarc1-102134,early medieval,medieval,,,,,,,,,,,
allenarc1-227519,early medieval,medieval,,,,,,,,,,,
allenarc1-23919,early medieval,roman,,,,,,,,,,,
allenarc1-43227,early medieval,medieval,,,,,,,,,,,
allenarc1-64047,early medieval,medieval,,,,,,,,,,,
allenarc1-68946,early medieval,post medieval,,,,,,,,,,,
aocarcha1-110899,early medieval,,,,,,,,,,,,
aocarcha1-111905,early medieval,iron age,,,,,,,,,,,
aocarcha1-118753,early medieval,medieval,,,,,,,,,,,
aocarcha1-122683,early medieval,iron age,,,,,,,,,,,
aocarcha1-190216,early medieval,iron age,,,,,,,,,,,
aocarcha1-20303,early medieval,late iron age,middle bronze age,roman,,,,,,,,,
aocarcha1-25631,early medieval,post medieval,,,,,,,,,,,
aocarcha1-36048,early medieval,,,,,,,,,,,,
aocarcha1-37208,early medieval,post medieval,,,,,,,,,,,
aocarcha1-77852,early medieval,later prehistoric,medieval,post medieval,roman,,,,,,,,
aocarcha1-79173,early medieval,,,,,,,,,,,,
aocarcha1-9549,early medieval,,,,,,,,,,,,
archaeoe1-76368,early medieval,medieval,post medieval,,,,,,,,,,
archaeol1-101399,early medieval,roman,,,,,,,,,,,
archaeol11-131509,early medieval,,,,,,,,,,,,
archaeol1-128783,early medieval,iron age,,,,,,,,,,,
archaeol11-41000,early medieval,medieval,,,,,,,,,,,
archaeol1-179526,early medieval,,,,,,,,,,,,
archaeol1-19262,early medieval,roman,,,,,,,,,,,
archaeol1-20046,early medieval,roman,,,,,,,,,,,
archaeol1-22947,early medieval,medieval,post medieval,,,,,,,,,,
archaeol1-24095,early medieval,medieval,,,,,,,,,,,
archaeol1-262819,early medieval,post medieval,,,,,,,,,,,
archaeol1-50674,early medieval,,,,,,,,,,,,
archaeol1-62526,early medieval,medieval,,,,,,,,,,,
archaeol1-64283,early medieval,,,,,,,,,,,,
archaeol1-64312,early medieval,,,,,,,,,,,,
archaeol1-69802,early medieval,medieval,,,,,,,,,,,
archaeol1-86519,early medieval,,,,,,,,,,,,
archaeol2-23612,early medieval,iron age,roman,,,,,,,,,,
archaeol2-23728,early medieval,medieval,roman,,,,,,,,,,
archaeol2-23814,early medieval,medieval,post medieval,,,,,,,,,,
archaeol2-24331,early medieval,early prehistoric,later prehistoric,medieval,post medieval,roman,,,,,,,
archaeol2-25204,early medieval,medieval,post medieval,,,,,,,,,,
archaeol2-44349,early medieval,,,,,,,,,,,,
archaeol2-44385,early medieval,,,,,,,,,,,,
archaeol27-124065,early medieval,medieval,roman,,,,,,,,,,
archaeol27-124360,early medieval,,,,,,,,,,,,
archaeol2-9500,early medieval,later prehistoric,medieval,roman,,,,,,,,,
archaeol2-9579,early medieval,post medieval,,,,,,,,,,,
archaeol3-204091,early medieval,medieval,,,,,,,,,,,
archaeol3-21776,early medieval,,,,,,,,,,,,
archaeol3-32128,early medieval,,,,,,,,,,,,
archaeol4-121983,early medieval,,,,,,,,,,,,
archaeol4-138638,early medieval,,,,,,,,,,,,
archaeol4-138652,early medieval,,,,,,,,,,,,
archaeol4-138695,early medieval,,,,,,,,,,,,
archaeol4-138697,early medieval,medieval,post medieval,,,,,,,,,,
archaeol4-159516,early medieval,,,,,,,,,,,,
archaeol4-209602,early medieval,,,,,,,,,,,,
archaeol5-33084,early medieval,,,,,,,,,,,,
archaeol5-96427,early medieval,medieval,post medieval,,,,,,,,,,
archaeol6-105838,early medieval,,,,,,,,,,,,
archaeol6-224002,early medieval,medieval,,,,,,,,,,,
archaeol6-36963,early medieval,late bronze age,roman,,,,,,,,,,
archaeol7-111959,early medieval,,,,,,,,,,,,
archaeol7-114390,early medieval,middle bronze age,,,,,,,,,,,
archaeol7-126820,early medieval,medieval,,,,,,,,,,,
archaeol7-131663,early medieval,,,,,,,,,,,,
archaeol7-132703,early medieval,post medieval,,,,,,,,,,,
archaeol7-153046,early medieval,medieval,post medieval,,,,,,,,,,
archaeol7-154149,early medieval,,,,,,,,,,,,
archaeol7-184885,early medieval,late neolithic,medieval,post medieval,roman,,,,,,,,
archaeol7-193857,early medieval,,,,,,,,,,,,
archaeol7-196574,early medieval,,,,,,,,,,,,
archaeol7-21951,early medieval,medieval,,,,,,,,,,,
archaeol7-232607,early medieval,,,,,,,,,,,,
archaeol7-261452,early medieval,post medieval,,,,,,,,,,,
archaeol7-263478,early medieval,,,,,,,,,,,,
archaeol7-276718,early medieval,medieval,post medieval,,,,,,,,,,
archaeol7-314355,early medieval,late bronze age,,,,,,,,,,,
archaeol7-35507,early medieval,roman,,,,,,,,,,,
archaeol7-35522,early medieval,medieval,post medieval,,,,,,,,,,
archaeol7-58122,early medieval,medieval,roman,,,,,,,,,,
archaeol7-67558,early medieval,medieval,roman,,,,,,,,,,
archaeol7-67632,early medieval,iron age,,,,,,,,,,,
archaeol7-73424,early medieval,,,,,,,,,,,,
archaeol7-73873,early medieval,,,,,,,,,,,,
archaeol7-82682,early medieval,medieval,,,,,,,,,,,
archaeol8-29494,early medieval,post medieval,,,,,,,,,,,
archenfi2-31303,early medieval,roman,,,,,,,,,,,
bamburgh1-172162,early medieval,medieval,post medieval,,,,,,,,,,
borderar1-319986,early medieval,early neolithic,late mesolithic,medieval,roman,,,,,,,,
borderar1-39675,early medieval,,,,,,,,,,,,
britanni1-206935,early medieval,late iron age,,,,,,,,,,,
cambrian1-63950,early medieval,,,,,,,,,,,,
cambridg1-25690,early medieval,iron age,post medieval,,,,,,,,,,
cambridg1-26997,early medieval,roman,,,,,,,,,,,
cambridg1-31887,early medieval,late iron age,roman,,,,,,,,,,
cambridg1-35764,early medieval,,,,,,,,,,,,
cambridg1-40283,early medieval,medieval,,,,,,,,,,,
cambridg1-42975,early medieval,roman,,,,,,,,,,,
cambridg3-108397,early medieval,post medieval,,,,,,,,,,,
cambridg3-109643,early medieval,,,,,,,,,,,,
cambridg3-110807,early medieval,medieval,roman,,,,,,,,,,
cambridg3-127686,early medieval,medieval,post medieval,roman,,,,,,,,,
cambridg3-131246,early medieval,medieval,,,,,,,,,,,
cambridg3-28133,early medieval,,,,,,,,,,,,
cambridg3-36302,early medieval,roman,,,,,,,,,,,
cambridg3-52775,early medieval,medieval,post medieval,roman,,,,,,,,,
cambridg3-60414,early medieval,late iron age,later prehistoric,roman,,,,,,,,,
cambridg3-60434,early medieval,iron age,medieval,roman,,,,,,,,,
cambridg3-63636,early medieval,iron age,mesolithic,roman,,,,,,,,,
cambridg3-66498,early medieval,iron age,medieval,post medieval,,,,,,,,,
cambridg3-73237,early medieval,medieval,post medieval,,,,,,,,,,
cambridg3-77812,early medieval,later prehistoric,post medieval,roman,,,,,,,,,
cambridg3-77814,early medieval,later prehistoric,roman,,,,,,,,,,
cambridg3-95141,early medieval,later prehistoric,medieval,post medieval,roman,,,,,,,,
canterbu3-137088,early medieval,post medieval,,,,,,,,,,,
cfaarcha1-100676,early medieval,,,,,,,,,,,,
cfaarcha1-148825,early medieval,medieval,,,,,,,,,,,
cfaarcha1-154602,early medieval,roman,,,,,,,,,,,
cfaarcha1-212630,early medieval,,,,,,,,,,,,
clwydpow3-131442,early medieval,,,,,,,,,,,,
colchest3-169501,early medieval,later prehistoric,roman,,,,,,,,,,
colchest3-76522,early medieval,late iron age,medieval,roman,,,,,,,,,
communit1-321182,early medieval,,,,,,,,,,,,
compassa1-82113,early medieval,medieval,post medieval,roman,,,,,,,,,
contexto1-158871,early medieval,,,,,,,,,,,,
contexto1-196149,early medieval,medieval,,,,,,,,,,,
contexto1-78989,early medieval,,,,,,,,,,,,
cornwall2-102123,early medieval,,,,,,,,,,,,
cornwall2-102158,early medieval,,,,,,,,,,,,
cornwall2-102971,early medieval,,,,,,,,,,,,
cornwall2-104621,early medieval,,,,,,,,,,,,
cornwall2-161841,early medieval,,,,,,,,,,,,
cornwall2-161846,early medieval,,,,,,,,,,,,
cornwall2-166791,early medieval,medieval,,,,,,,,,,,
cornwall2-189885,early medieval,medieval,,,,,,,,,,,
cornwall2-196160,early medieval,,,,,,,,,,,,
cornwall2-210006,early medieval,medieval,,,,,,,,,,,
cornwall2-241938,early medieval,roman,,,,,,,,,,,
cornwall2-262160,early medieval,,,,,,,,,,,,
cornwall2-264705,early medieval,medieval,,,,,,,,,,,
cornwall2-277175,early medieval,medieval,,,,,,,,,,,
cornwall2-89339,early medieval,,,,,,,,,,,,
cornwall2-95978,early medieval,medieval,,,,,,,,,,,
cornwall2-97084,early medieval,,,,,,,,,,,,
cotswold2-103857,early medieval,medieval,,,,,,,,,,,
cotswold2-105247,early medieval,,,,,,,,,,,,
cotswold2-116437,early medieval,,,,,,,,,,,,
cotswold2-154813,early medieval,medieval,roman,,,,,,,,,,
cotswold2-227257,early medieval,,,,,,,,,,,,
cotswold2-227620,early medieval,post medieval,,,,,,,,,,,
cotswold2-281304,early medieval,medieval,post medieval,,,,,,,,,,
cotswold2-282149,early medieval,,,,,,,,,,,,
cotswold2-305790,early medieval,late neolithic,,,,,,,,,,,
cotswold2-306265,early medieval,post medieval,,,,,,,,,,,
cotswold2-308286,early medieval,medieval,roman,,,,,,,,,,
cotswold2-40180,early medieval,,,,,,,,,,,,
cotswold2-80903,early medieval,later prehistoric,medieval,roman,,,,,,,,,
cotswold2-99341,early medieval,medieval,,,,,,,,,,,
covingto1-215282,early medieval,iron age,medieval,post medieval,roman,,,,,,,,
delandsc1-271015,early medieval,post medieval,,,,,,,,,,,
dennispa1-221183,early medieval,,,,,,,,,,,,
departme1-147365,early medieval,,,,,,,,,,,,
departme1-147372,early medieval,,,,,,,,,,,,
derekhal1-132067,early medieval,,,,,,,,,,,,
derekhal1-133974,early medieval,,,,,,,,,,,,
eastsuss3-7585,early medieval,medieval,post medieval,,,,,,,,,,
eddennis1-151707,early medieval,medieval,,,,,,,,,,,
eddennis1-171739,early medieval,early prehistoric,medieval,,,,,,,,,,
elmetarc1-219633,early medieval,,,,,,,,,,,,
englishh2-107055,early medieval,medieval,post medieval,,,,,,,,,,
englishh2-107637,early medieval,medieval,,,,,,,,,,,
englishh2-108271,early medieval,,,,,,,,,,,,
englishh2-110298,early medieval,,,,,,,,,,,,
englishh2-113359,early medieval,,,,,,,,,,,,
englishh2-120017,early medieval,,,,,,,,,,,,
englishh2-149009,early medieval,medieval,,,,,,,,,,,
englishh2-157881,early medieval,,,,,,,,,,,,
englishh2-157894,early medieval,,,,,,,,,,,,
englishh2-235848,early medieval,post medieval,,,,,,,,,,,
englishh2-64220,early medieval,medieval,roman,,,,,,,,,,
englishh2-64223,early medieval,,,,,,,,,,,,
englishh2-64345,early medieval,,,,,,,,,,,,
englishh2-64366,early medieval,,,,,,,,,,,,
englishh2-64613,early medieval,,,,,,,,,,,,
englishh2-66750,early medieval,post medieval,,,,,,,,,,,
englishh2-66852,early medieval,,,,,,,,,,,,
englishh2-67585,early medieval,,,,,,,,,,,,
englishh2-67586,early medieval,roman,,,,,,,,,,,
englishh2-70527,early medieval,,,,,,,,,,,,
englishh2-71472,early medieval,,,,,,,,,,,,
englishh2-71478,early medieval,,,,,,,,,,,,
englishh2-73575,early medieval,,,,,,,,,,,,
englishh2-94887,early medieval,,,,,,,,,,,,
englishh4-178528,early medieval,late iron age,post medieval,roman,,,,,,,,,
essexcou1-114801,early medieval,neolithic,post medieval,,,,,,,,,,
essexcou1-143030,early medieval,,,,,,,,,,,,
essexcou1-28369,early medieval,medieval,,,,,,,,,,,
essexcou1-90254,early medieval,,,,,,,,,,,,
exeterar1-65268,early medieval,medieval,post medieval,roman,,,,,,,,,
fernarch1-32002,early medieval,medieval,post medieval,,,,,,,,,,
fieldsec1-134092,early medieval,medieval,roman,,,,,,,,,,
fieldsec1-171400,early medieval,late neolithic,middle neolithic,post medieval,,,,,,,,,
fieldsec1-175015,early medieval,iron age,medieval,post medieval,roman,,,,,,,,
fieldsec1-228332,early medieval,mesolithic,,,,,,,,,,,
fieldsec1-229117,early medieval,medieval,post medieval,,,,,,,,,,
fieldsec1-230291,early medieval,iron age,late iron age,medieval,middle iron age,roman,,,,,,,
fieldsec1-233832,early medieval,medieval,,,,,,,,,,,
fieldsec1-237373,early medieval,late iron age,medieval,post medieval,roman,,,,,,,,
fieldsec1-237490,early medieval,medieval,post medieval,,,,,,,,,,
fieldsec1-238099,early medieval,medieval,post medieval,roman,,,,,,,,,
fieldsec1-238500,early medieval,medieval,post medieval,,,,,,,,,,
fieldsec1-238807,early medieval,medieval,post medieval,,,,,,,,,,
fieldsec1-238832,early medieval,medieval,roman,,,,,,,,,,
fieldsec1-240312,early medieval,medieval,roman,,,,,,,,,,
fieldsec1-246201,early medieval,medieval,,,,,,,,,,,
fieldsec1-63474,early medieval,iron age,medieval,post medieval,,,,,,,,,
fieldsec1-66233,early medieval,iron age,,,,,,,,,,,
fieldsec1-97061,early medieval,medieval,post medieval,roman,,,,,,,,,
fieldsec1-97315,early medieval,roman,,,,,,,,,,,
foundati1-101446,early medieval,medieval,post medieval,,,,,,,,,,
foundati1-102993,early medieval,medieval,,,,,,,,,,,
foundati1-12036,early medieval,later prehistoric,,,,,,,,,,,
foundati1-209001,early medieval,medieval,roman,,,,,,,,,,
foundati1-22860,early medieval,medieval,neolithic,roman,,,,,,,,,
foundati1-268056,early medieval,,,,,,,,,,,,
foundati1-318215,early medieval,,,,,,,,,,,,
foundati1-80458,early medieval,medieval,,,,,,,,,,,
foundati1-90055,early medieval,roman,,,,,,,,,,,
gloucest4-153941,early medieval,roman,,,,,,,,,,,
gloucest5-239776,early medieval,medieval,,,,,,,,,,,
greatbow1-299501,early medieval,medieval,post medieval,,,,,,,,,,
greatbow1-300826,early medieval,late iron age,later prehistoric,medieval,post medieval,roman,,,,,,,
greenlan1-133123,early medieval,,,,,,,,,,,,
greenlan1-133310,early medieval,,,,,,,,,,,,
greenlan1-40455,early medieval,medieval,post medieval,,,,,,,,,,
gsbprosp1-22842,early medieval,,,,,,,,,,,,
gsbprosp1-22920,early medieval,,,,,,,,,,,,
gsbprosp1-22997,early medieval,,,,,,,,,,,,
gsbprosp1-23365,early medieval,,,,,,,,,,,,
gsbprosp1-23371,early medieval,medieval,,,,,,,,,,,
gsbprosp1-23948,early medieval,,,,,,,,,,,,
gsbprosp1-73686,early medieval,medieval,,,,,,,,,,,
guard4-78523,early medieval,,,,,,,,,,,,
guardarc1-134833,early medieval,roman,,,,,,,,,,,
guardarc1-190050,early medieval,iron age,late prehistoric,medieval,,,,,,,,,
guardarc1-192835,early medieval,post medieval,,,,,,,,,,,
guardarc1-259834,early medieval,,,,,,,,,,,,
hazelril1-205167,early medieval,medieval,post medieval,roman,,,,,,,,,
headland3-137223,early medieval,medieval,,,,,,,,,,,
headland3-140482,early medieval,medieval,,,,,,,,,,,
headland3-191515,early medieval,,,,,,,,,,,,
headland3-290488,early medieval,medieval,,,,,,,,,,,
headland3-304726,early medieval,medieval,,,,,,,,,,,
headland4-113482,early medieval,late iron age,neolithic,,,,,,,,,,
headland4-144927,early medieval,iron age,later prehistoric,roman,,,,,,,,,
headland4-162836,early medieval,late neolithic,medieval,post medieval,,,,,,,,,
headland4-223693,early medieval,,,,,,,,,,,,
hereford2-112354,early medieval,,,,,,,,,,,,
hereford2-272915,early medieval,medieval,,,,,,,,,,,
hereford2-273224,early medieval,,,,,,,,,,,,
hereford2-275732,early medieval,,,,,,,,,,,,
hereford2-278207,early medieval,,,,,,,,,,,,
hereford2-280080,early medieval,medieval,,,,,,,,,,,
hereford2-280130,early medieval,,,,,,,,,,,,
hereford2-295501,early medieval,medieval,,,,,,,,,,,
hereford2-308989,early medieval,medieval,post medieval,,,,,,,,,,
heritage1-100249,early medieval,post medieval,,,,,,,,,,,
heritage1-157127,early medieval,post medieval,,,,,,,,,,,
heritage1-17290,early medieval,medieval,post medieval,,,,,,,,,,
heritage1-4656,early medieval,,,,,,,,,,,,
heritage1-4985,early medieval,,,,,,,,,,,,
heritage1-63874,early medieval,,,,,,,,,,,,
heritage1-68634,early medieval,late iron age,,,,,,,,,,,
heritage1-92337,early medieval,medieval,,,,,,,,,,,
highland4-87880,early medieval,,,,,,,,,,,,
hollinra1-277106,early medieval,,,,,,,,,,,,
humblehe1-213418,early medieval,post medieval,,,,,,,,,,,
inglebor1-169235,early medieval,,,,,,,,,,,,
inglebor1-270894,early medieval,,,,,,,,,,,,
inglebor1-270903,early medieval,,,,,,,,,,,,
inglebor1-308340,early medieval,medieval,,,,,,,,,,,
inglebor1-308914,early medieval,,,,,,,,,,,,
johnmoor1-117687,early medieval,medieval,post medieval,,,,,,,,,,
johnmoor1-117813,early medieval,,,,,,,,,,,,
johnmoor1-117937,early medieval,medieval,post medieval,,,,,,,,,,
johnmoor1-118933,early medieval,medieval,post medieval,,,,,,,,,,
johnmoor1-120061,early medieval,medieval,post medieval,,,,,,,,,,
johnmoor1-120160,early medieval,roman,,,,,,,,,,,
johnmoor1-124733,early medieval,medieval,post medieval,roman,,,,,,,,,
johnmoor1-129403,early medieval,medieval,post medieval,,,,,,,,,,
johnmoor1-141878,early medieval,medieval,post medieval,,,,,,,,,,
johnmoor1-143350,early medieval,medieval,post medieval,roman,,,,,,,,,
johnmoor1-171783,early medieval,early prehistoric,medieval,mesolithic,roman,,,,,,,,
johnmoor1-171905,early medieval,medieval,,,,,,,,,,,
johnmoor1-178009,early medieval,medieval,post medieval,roman,,,,,,,,,
johnmoor1-222274,early medieval,,,,,,,,,,,,
johnmoor1-234036,early medieval,medieval,post medieval,,,,,,,,,,
johnmoor1-288564,early medieval,medieval,,,,,,,,,,,
johnmoor1-288583,early medieval,medieval,post medieval,roman,,,,,,,,,
johnmoor1-298843,early medieval,late iron age,medieval,roman,,,,,,,,,
johnmoor1-37805,early medieval,medieval,roman,,,,,,,,,,
johnmoor1-48878,early medieval,,,,,,,,,,,,
johnmoor1-54033,early medieval,iron age,,,,,,,,,,,
johnmoor1-54035,early medieval,medieval,,,,,,,,,,,
johnmoor1-54039,early medieval,medieval,neolithic,roman,,,,,,,,,
johnmoor1-54323,early medieval,,,,,,,,,,,,
johnmoor1-64739,early medieval,medieval,post medieval,,,,,,,,,,
johnmoor1-72785,early medieval,,,,,,,,,,,,
johnmoor1-80753,early medieval,medieval,,,,,,,,,,,
johnmoor1-90603,early medieval,,,,,,,,,,,,
johnmoor1-90701,early medieval,medieval,post medieval,roman,,,,,,,,,
johnmoor1-92271,early medieval,medieval,post medieval,roman,,,,,,,,,
johnmoor1-94948,early medieval,roman,,,,,,,,,,,
johnmoor1-95491,early medieval,,,,,,,,,,,,
johnnewm1-157417,early medieval,roman,,,,,,,,,,,
johnscho1-197126,early medieval,post medieval,,,,,,,,,,,
kirkdale1-123793,early medieval,,,,,,,,,,,,
kirkdale1-171087,early medieval,late prehistoric,medieval,,,,,,,,,,
kirkdale1-196095,early medieval,,,,,,,,,,,,
kirkdale1-279203,early medieval,,,,,,,,,,,,
kirkdale1-279391,early medieval,medieval,,,,,,,,,,,
kirkdale1-279393,early medieval,iron age,medieval,,,,,,,,,,
kirkdale1-311411,early medieval,,,,,,,,,,,,
kirkdale1-59126,early medieval,,,,,,,,,,,,
lincsarc1-58668,early medieval,,,,,,,,,,,,
liverpoo1-205106,early medieval,post medieval,,,,,,,,,,,
liverpoo1-232250,early medieval,medieval,post medieval,,,,,,,,,,
liverpoo1-232393,early medieval,,,,,,,,,,,,
liverpoo1-232412,early medieval,post medieval,,,,,,,,,,,
lparchae1-124155,early medieval,roman,,,,,,,,,,,
lparchae1-50969,early medieval,medieval,,,,,,,,,,,
lparchae1-59112,early medieval,medieval,post medieval,roman,,,,,,,,,
mas1-145701,early medieval,post medieval,,,,,,,,,,,
mas1-207541,early medieval,medieval,,,,,,,,,,,
meonvall1-181101,early medieval,medieval,post medieval,,,,,,,,,,
midlanda1-269867,early medieval,medieval,,,,,,,,,,,
mikenapt1-145003,early medieval,iron age,later prehistoric,medieval,roman,,,,,,,,
molanort1-218397,early medieval,,,,,,,,,,,,
molanort1-250081,early medieval,medieval,middle bronze age,,,,,,,,,,
molanort1-266617,early medieval,late iron age,,,,,,,,,,,
molas1-12161,early medieval,post medieval,roman,,,,,,,,,,
molas1-137966,early medieval,medieval,,,,,,,,,,,
molas1-144438,early medieval,post medieval,,,,,,,,,,,
molas1-158178,early medieval,roman,,,,,,,,,,,
molas1-163722,early medieval,medieval,post medieval,,,,,,,,,,
molas1-171215,early medieval,post medieval,,,,,,,,,,,
molas1-27266,early medieval,medieval,,,,,,,,,,,
molas1-48583,early medieval,medieval,post medieval,roman,,,,,,,,,
molas1-4869,early medieval,medieval,roman,,,,,,,,,,
networka2-146697,early medieval,medieval,post medieval,,,,,,,,,,
networka2-45833,early medieval,medieval,post medieval,roman,,,,,,,,,
networka2-75070,early medieval,roman,,,,,,,,,,,
norfolka1-105412,early medieval,medieval,post medieval,,,,,,,,,,
norfolka1-107865,early medieval,early prehistoric,medieval,,,,,,,,,,
norfolka1-115705,early medieval,later prehistoric,medieval,post medieval,,,,,,,,,
norfolka1-124208,early medieval,medieval,post medieval,roman,,,,,,,,,
norfolka1-125256,early medieval,post medieval,,,,,,,,,,,
norfolka1-134244,early medieval,post medieval,,,,,,,,,,,
norfolka1-148608,early medieval,medieval,post medieval,roman,,,,,,,,,
norfolka1-163420,early medieval,medieval,post medieval,,,,,,,,,,
norfolka1-190644,early medieval,medieval,post medieval,roman,,,,,,,,,
norfolka1-19177,early medieval,early prehistoric,later prehistoric,,,,,,,,,,
norfolka1-1955,early medieval,medieval,post medieval,,,,,,,,,,
norfolka1-19985,early medieval,later prehistoric,medieval,post medieval,,,,,,,,,
norfolka1-23391,early medieval,medieval,post medieval,,,,,,,,,,
norfolka1-23520,early medieval,post medieval,,,,,,,,,,,
norfolka1-3844,early medieval,medieval,neolithic,post medieval,roman,,,,,,,,
norfolka1-3927,early medieval,post medieval,,,,,,,,,,,
norfolka1-42153,early medieval,medieval,roman,,,,,,,,,,
