OASIS Ids,period 1,period 2,period 3,period 4,period 5,period 6,period 7,period 8,period 9,period 10,period 11,period 12
aberdeen3-53479,Medieval,Post Medieval,,,,,,,,,,
aberdeen3-53486,Post Medieval,,,,,,,,,,,
aberdeen3-53551,Post Medieval,,,,,,,,,,,
aberdeen3-59467,no period,,,,,,,,,,,
aberdeen3-59472,no period,,,,,,,,,,,
aberdeen3-59548,no period,,,,,,,,,,,
aberdeen3-59550,no period,,,,,,,,,,,
aberdeen3-59552,no period,,,,,,,,,,,
aberdeen3-59554,Late Prehistoric,Period Unknown,,,,,,,,,,
aberdeen3-63056,no period,,,,,,,,,,,
aberdeen3-63058,Medieval,,,,,,,,,,,
aberdeen3-63061,no period,,,,,,,,,,,
aberdeen3-63989,20th Century,,,,,,,,,,,
aberdeen3-65964,no period,,,,,,,,,,,
aberdeen3-67061,Post Medieval,,,,,,,,,,,
aberdeen3-70193,Bronze Age,Late Prehistoric,,,,,,,,,,
aberdeen3-70664,Late Prehistoric,,,,,,,,,,,
aberdeen3-74862,no period,,,,,,,,,,,
aberdeen3-74894,no period,,,,,,,,,,,
abherita1-138193,no period,,,,,,,,,,,
abherita1-145426,POST MEDIEVAL,,,,,,,,,,,
abherita1-145435,no period,,,,,,,,,,,
abherita1-164453,no period,,,,,,,,,,,
abherita1-165078,POST MEDIEVAL,,,,,,,,,,,
abherita1-165129,no period,,,,,,,,,,,
abherita1-165169,no period,,,,,,,,,,,
abherita1-165227,no period,,,,,,,,,,,
abherita1-184175,UNCERTAIN,,,,,,,,,,,
abherita1-184270,no period,,,,,,,,,,,
abherita1-184432,no period,,,,,,,,,,,
abherita1-184492,no period,,,,,,,,,,,
abherita1-184520,no period,,,,,,,,,,,
abherita1-184541,no period,,,,,,,,,,,
abherita1-184563,no period,,,,,,,,,,,
abherita1-185529,no period,,,,,,,,,,,
abherita1-187549,no period,,,,,,,,,,,
abherita1-195778,no period,,,,,,,,,,,
abherita1-195791,20TH CENTURY,,,,,,,,,,,
abherita1-195806,20TH CENTURY,,,,,,,,,,,
abherita1-195839,POST MEDIEVAL,,,,,,,,,,,
abherita1-195866,UNCERTAIN,,,,,,,,,,,
abherita1-195883,None,,,,,,,,,,,
abherita1-195907,no period,,,,,,,,,,,
abherita1-195943,20TH CENTURY,EARLY PREHISTORIC,ROMAN,,,,,,,,,
abherita1-200161,no period,,,,,,,,,,,
abherita1-201585,no period,,,,,,,,,,,
abherita1-207951,no period,,,,,,,,,,,
abherita1-208010,no period,,,,,,,,,,,
abherita1-208023,no period,,,,,,,,,,,
abherita1-208033,no period,,,,,,,,,,,
abherita1-208054,IRON AGE,MESOLITHIC,ROMAN,,,,,,,,,
abherita1-208072,20TH CENTURY,,,,,,,,,,,
abherita1-208077,MEDIEVAL,,,,,,,,,,,
abherita1-208082,UNCERTAIN,,,,,,,,,,,
abherita1-209887,no period,,,,,,,,,,,
abherita1-210179,no period,,,,,,,,,,,
abherita1-210324,no period,,,,,,,,,,,
abherita1-210383,no period,,,,,,,,,,,
abherita1-211662,UNCERTAIN,,,,,,,,,,,
abherita1-211674,UNCERTAIN,,,,,,,,,,,
abherita1-212230,LATER PREHISTORIC,,,,,,,,,,,
abherita1-212382,UNCERTAIN,,,,,,,,,,,
abherita1-212385,no period,,,,,,,,,,,
abherita1-213380,UNCERTAIN,,,,,,,,,,,
abherita1-213388,UNCERTAIN,,,,,,,,,,,
abherita1-216618,UNCERTAIN,,,,,,,,,,,
abherita1-216633,no period,,,,,,,,,,,
abherita1-217405,no period,,,,,,,,,,,
abherita1-219538,MEDIEVAL,,,,,,,,,,,
abherita1-219544,MEDIEVAL,,,,,,,,,,,
abherita1-231870,20TH CENTURY,,,,,,,,,,,
abherita1-232617,ROMAN,UNCERTAIN,,,,,,,,,,
abherita1-232624,UNCERTAIN,,,,,,,,,,,
abherita1-239502,ROMAN,,,,,,,,,,,
abherita1-239641,POST MEDIEVAL,,,,,,,,,,,
abherita1-239653,no period,,,,,,,,,,,
abherita1-239661,20TH CENTURY,,,,,,,,,,,
abherita1-239672,no period,,,,,,,,,,,
abherita1-239822,UNCERTAIN,,,,,,,,,,,
abherita1-239842,UNCERTAIN,,,,,,,,,,,
abherita1-239980,no period,,,,,,,,,,,
abherita1-240022,POST MEDIEVAL,,,,,,,,,,,
abherita1-254716,no period,,,,,,,,,,,
abherita1-254720,UNCERTAIN,,,,,,,,,,,
abherita1-255050,no period,,,,,,,,,,,
abherita1-255106,UNCERTAIN,,,,,,,,,,,
abherita1-256791,UNCERTAIN,,,,,,,,,,,
abherita1-257118,UNCERTAIN,,,,,,,,,,,
abherita1-257125,UNCERTAIN,,,,,,,,,,,
abherita1-257552,20TH CENTURY,,,,,,,,,,,
abherita1-257555,UNCERTAIN,,,,,,,,,,,
abherita1-257588,LATER PREHISTORIC,MEDIEVAL,UNCERTAIN,,,,,,,,,
abherita1-257616,UNCERTAIN,,,,,,,,,,,
abherita1-257632,no period,,,,,,,,,,,
abherita1-257795,no period,,,,,,,,,,,
abherita1-257805,no period,,,,,,,,,,,
abherita1-257810,20TH CENTURY,,,,,,,,,,,
abherita1-75068,POST MEDIEVAL,,,,,,,,,,,
abingdon1-102991,BRONZE AGE,,,,,,,,,,,
abingdon1-108851,no period,,,,,,,,,,,
abingdon1-109025,MEDIEVAL,,,,,,,,,,,
abingdon1-116157,NEOLITHIC,,,,,,,,,,,
abingdon1-146290,MIDDLE IRON AGE,,,,,,,,,,,
abingdon1-155101,MEDIEVAL,,,,,,,,,,,
abingdon1-186304,IRON AGE,ROMAN,,,,,,,,,,
abingdon1-194599,UNCERTAIN,,,,,,,,,,,
abingdon1-199181,no period,,,,,,,,,,,
abingdon1-202662,MEDIEVAL,,,,,,,,,,,
abingdon1-202739,UNCERTAIN,,,,,,,,,,,
abingdon1-203075,MEDIEVAL,UNCERTAIN,,,,,,,,,,
abingdon1-203714,no period,,,,,,,,,,,
abingdon1-211773,UNCERTAIN,,,,,,,,,,,
abingdon1-225441,no period,,,,,,,,,,,
abingdon1-245999,ROMAN,,,,,,,,,,,
abingdon1-275049,MIDDLE BRONZE AGE,ROMAN,,,,,,,,,,
abingdon1-96466,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
abingdon1-98693,MEDIEVAL,,,,,,,,,,,
acarchae2-101169,no period,,,,,,,,,,,
acarchae2-101475,no period,,,,,,,,,,,
acarchae2-102750,UNCERTAIN,,,,,,,,,,,
acarchae2-102754,UNCERTAIN,,,,,,,,,,,
acarchae2-102950,no period,,,,,,,,,,,
acarchae2-103562,UNCERTAIN,,,,,,,,,,,
acarchae2-104118,UNCERTAIN,,,,,,,,,,,
acarchae2-104740,no period,,,,,,,,,,,
acarchae2-104786,no period,,,,,,,,,,,
acarchae2-104806,BRONZE AGE,LATER PREHISTORIC,,,,,,,,,,
acarchae2-104821,no period,,,,,,,,,,,
acarchae2-104840,no period,,,,,,,,,,,
acarchae2-105232,no period,,,,,,,,,,,
acarchae2-105240,BRONZE AGE,MEDIEVAL,,,,,,,,,,
acarchae2-105338,no period,,,,,,,,,,,
acarchae2-105427,POST MEDIEVAL,UNCERTAIN,,,,,,,,,,
acarchae2-106186,no period,,,,,,,,,,,
acarchae2-107737,no period,,,,,,,,,,,
acarchae2-107890,MEDIEVAL,,,,,,,,,,,
acarchae2-108138,no period,,,,,,,,,,,
acarchae2-108151,POST MEDIEVAL,,,,,,,,,,,
acarchae2-108244,POST MEDIEVAL,,,,,,,,,,,
acarchae2-108625,no period,,,,,,,,,,,
acarchae2-108688,no period,,,,,,,,,,,
acarchae2-109790,POST MEDIEVAL,,,,,,,,,,,
acarchae2-109811,MEDIEVAL,POST MEDIEVAL,ROMAN,UNCERTAIN,,,,,,,,
acarchae2-111072,POST MEDIEVAL,,,,,,,,,,,
acarchae2-111382,no period,,,,,,,,,,,
acarchae2-111515,no period,,,,,,,,,,,
acarchae2-111774,no period,,,,,,,,,,,
acarchae2-111775,no period,,,,,,,,,,,
acarchae2-111941,POST MEDIEVAL,,,,,,,,,,,
acarchae2-112381,POST MEDIEVAL,,,,,,,,,,,
acarchae2-112406,POST MEDIEVAL,,,,,,,,,,,
acarchae2-112480,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
acarchae2-112537,POST MEDIEVAL,,,,,,,,,,,
acarchae2-113179,ROMAN,,,,,,,,,,,
acarchae2-114017,no period,,,,,,,,,,,
acarchae2-114090,no period,,,,,,,,,,,
acarchae2-114597,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
acarchae2-115100,no period,,,,,,,,,,,
acarchae2-115179,no period,,,,,,,,,,,
acarchae2-115433,no period,,,,,,,,,,,
acarchae2-115626,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
acarchae2-115687,no period,,,,,,,,,,,
acarchae2-115824,POST MEDIEVAL,,,,,,,,,,,
acarchae2-116356,EARLY MEDIEVAL,MEDIEVAL,POST MEDIEVAL,,,,,,,,,
acarchae2-116501,no period,,,,,,,,,,,
acarchae2-116762,POST MEDIEVAL,,,,,,,,,,,
acarchae2-117011,no period,,,,,,,,,,,
acarchae2-117728,POST MEDIEVAL,,,,,,,,,,,
acarchae2-117820,no period,,,,,,,,,,,
acarchae2-117875,IRON AGE,POST MEDIEVAL,,,,,,,,,,
acarchae2-118363,BRONZE AGE,UNCERTAIN,,,,,,,,,,
acarchae2-118626,None,,,,,,,,,,,
acarchae2-118763,UNCERTAIN,,,,,,,,,,,
acarchae2-120404,20TH CENTURY,,,,,,,,,,,
acarchae2-121086,no period,,,,,,,,,,,
acarchae2-122769,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
acarchae2-124323,no period,,,,,,,,,,,
acarchae2-124358,20TH CENTURY,,,,,,,,,,,
acarchae2-125113,POST MEDIEVAL,,,,,,,,,,,
acarchae2-127012,no period,,,,,,,,,,,
acarchae2-127406,BRONZE AGE,,,,,,,,,,,
acarchae2-127600,20TH CENTURY,,,,,,,,,,,
acarchae2-127718,20TH CENTURY,,,,,,,,,,,
acarchae2-127736,no period,,,,,,,,,,,
acarchae2-128122,no period,,,,,,,,,,,
acarchae2-128123,no period,,,,,,,,,,,
acarchae2-128124,POST MEDIEVAL,,,,,,,,,,,
acarchae2-128164,POST MEDIEVAL,,,,,,,,,,,
acarchae2-128403,no period,,,,,,,,,,,
acarchae2-128420,20TH CENTURY,,,,,,,,,,,
acarchae2-128932,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
acarchae2-130196,no period,,,,,,,,,,,
acarchae2-130222,no period,,,,,,,,,,,
acarchae2-131388,no period,,,,,,,,,,,
acarchae2-132796,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
acarchae2-133209,20TH CENTURY,,,,,,,,,,,
acarchae2-133990,no period,,,,,,,,,,,
acarchae2-134321,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
acarchae2-135144,no period,,,,,,,,,,,
acarchae2-135365,POST MEDIEVAL,,,,,,,,,,,
acarchae2-135722,no period,,,,,,,,,,,
acarchae2-135956,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
acarchae2-136001,UNCERTAIN,,,,,,,,,,,
acarchae2-136759,20TH CENTURY,,,,,,,,,,,
acarchae2-136777,20TH CENTURY,,,,,,,,,,,
acarchae2-137952,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
acarchae2-138666,BRONZE AGE,,,,,,,,,,,
acarchae2-138769,EARLY MEDIEVAL,,,,,,,,,,,
acarchae2-140032,no period,,,,,,,,,,,
acarchae2-140045,20TH CENTURY,,,,,,,,,,,
acarchae2-140223,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
acarchae2-140524,IRON AGE,,,,,,,,,,,
acarchae2-141084,MEDIEVAL,,,,,,,,,,,
acarchae2-141385,no period,,,,,,,,,,,
acarchae2-141476,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
acarchae2-141827,IRON AGE,POST MEDIEVAL,,,,,,,,,,
acarchae2-141986,20TH CENTURY,,,,,,,,,,,
acarchae2-142253,no period,,,,,,,,,,,
acarchae2-142452,no period,,,,,,,,,,,
acarchae2-144967,MEDIEVAL,,,,,,,,,,,
acarchae2-145135,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
acarchae2-145651,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
acarchae2-145664,UNCERTAIN,,,,,,,,,,,
acarchae2-147658,ROMAN,,,,,,,,,,,
acarchae2-147948,no period,,,,,,,,,,,
acarchae2-148456,BRONZE AGE,,,,,,,,,,,
acarchae2-150006,BRONZE AGE,,,,,,,,,,,
acarchae2-150170,no period,,,,,,,,,,,
acarchae2-150181,POST MEDIEVAL,,,,,,,,,,,
acarchae2-150200,no period,,,,,,,,,,,
acarchae2-150742,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
acarchae2-151263,no period,,,,,,,,,,,
acarchae2-151351,POST MEDIEVAL,,,,,,,,,,,
acarchae2-151651,UNCERTAIN,,,,,,,,,,,
acarchae2-151700,no period,,,,,,,,,,,
acarchae2-151858,no period,,,,,,,,,,,
acarchae2-152015,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
acarchae2-152305,POST MEDIEVAL,,,,,,,,,,,
acarchae2-152598,POST MEDIEVAL,,,,,,,,,,,
acarchae2-152671,20TH CENTURY,UNCERTAIN,,,,,,,,,,
acarchae2-152718,POST MEDIEVAL,UNCERTAIN,,,,,,,,,,
acarchae2-152835,POST MEDIEVAL,,,,,,,,,,,
acarchae2-152898,POST MEDIEVAL,,,,,,,,,,,
acarchae2-153065,POST MEDIEVAL,,,,,,,,,,,
acarchae2-153160,POST MEDIEVAL,,,,,,,,,,,
acarchae2-153198,no period,,,,,,,,,,,
acarchae2-154203,POST MEDIEVAL,,,,,,,,,,,
acarchae2-155122,no period,,,,,,,,,,,
acarchae2-155303,no period,,,,,,,,,,,
acarchae2-155819,no period,,,,,,,,,,,
acarchae2-156418,POST MEDIEVAL,,,,,,,,,,,
acarchae2-156667,no period,,,,,,,,,,,
acarchae2-156670,no period,,,,,,,,,,,
acarchae2-156760,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
acarchae2-157003,no period,,,,,,,,,,,
acarchae2-157083,POST MEDIEVAL,,,,,,,,,,,
acarchae2-157779,POST MEDIEVAL,,,,,,,,,,,
acarchae2-158382,MEDIEVAL,,,,,,,,,,,
acarchae2-159262,LATER PREHISTORIC,ROMAN,,,,,,,,,,
acarchae2-159344,POST MEDIEVAL,,,,,,,,,,,
acarchae2-159495,LATER PREHISTORIC,,,,,,,,,,,
acarchae2-159559,no period,,,,,,,,,,,
acarchae2-159778,20TH CENTURY,,,,,,,,,,,
acarchae2-159942,POST MEDIEVAL,,,,,,,,,,,
acarchae2-160013,LATER PREHISTORIC,,,,,,,,,,,
acarchae2-160038,no period,,,,,,,,,,,
acarchae2-160079,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
acarchae2-160360,UNCERTAIN,,,,,,,,,,,
acarchae2-160456,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
acarchae2-160469,no period,,,,,,,,,,,
acarchae2-160865,no period,,,,,,,,,,,
acarchae2-161270,POST MEDIEVAL,,,,,,,,,,,
acarchae2-162005,POST MEDIEVAL,,,,,,,,,,,
acarchae2-162404,UNCERTAIN,,,,,,,,,,,
acarchae2-163095,POST MEDIEVAL,,,,,,,,,,,
acarchae2-163484,no period,,,,,,,,,,,
acarchae2-163741,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
acarchae2-163806,UNCERTAIN,,,,,,,,,,,
acarchae2-164054,no period,,,,,,,,,,,
acarchae2-164058,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
acarchae2-164079,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
acarchae2-164155,no period,,,,,,,,,,,
acarchae2-164200,no period,,,,,,,,,,,
acarchae2-164228,20TH CENTURY,,,,,,,,,,,
acarchae2-164324,POST MEDIEVAL,,,,,,,,,,,
acarchae2-164474,no period,,,,,,,,,,,
acarchae2-164517,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
acarchae2-166419,POST MEDIEVAL,,,,,,,,,,,
acarchae2-166573,no period,,,,,,,,,,,
acarchae2-166717,no period,,,,,,,,,,,
acarchae2-167113,POST MEDIEVAL,,,,,,,,,,,
acarchae2-167239,20TH CENTURY,,,,,,,,,,,
acarchae2-167350,UNCERTAIN,,,,,,,,,,,
acarchae2-168135,POST MEDIEVAL,,,,,,,,,,,
acarchae2-169831,no period,,,,,,,,,,,
acarchae2-171085,20TH CENTURY,UNCERTAIN,,,,,,,,,,
acarchae2-171608,no period,,,,,,,,,,,
acarchae2-171852,POST MEDIEVAL,,,,,,,,,,,
acarchae2-173454,20TH CENTURY,,,,,,,,,,,
acarchae2-173884,POST MEDIEVAL,,,,,,,,,,,
acarchae2-174685,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
acarchae2-174870,POST MEDIEVAL,,,,,,,,,,,
acarchae2-175324,no period,,,,,,,,,,,
acarchae2-175329,no period,,,,,,,,,,,
acarchae2-175448,20TH CENTURY,,,,,,,,,,,
acarchae2-175990,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
acarchae2-176005,20TH CENTURY,,,,,,,,,,,
acarchae2-176324,POST MEDIEVAL,,,,,,,,,,,
acarchae2-176529,no period,,,,,,,,,,,
acarchae2-176676,POST MEDIEVAL,,,,,,,,,,,
acarchae2-176680,POST MEDIEVAL,,,,,,,,,,,
acarchae2-177092,no period,,,,,,,,,,,
acarchae2-177771,LATER PREHISTORIC,,,,,,,,,,,
acarchae2-179100,POST MEDIEVAL,,,,,,,,,,,
acarchae2-179248,POST MEDIEVAL,,,,,,,,,,,
acarchae2-179500,no period,,,,,,,,,,,
acarchae2-179531,POST MEDIEVAL,,,,,,,,,,,
acarchae2-179572,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
acarchae2-179673,no period,,,,,,,,,,,
acarchae2-180555,UNCERTAIN,,,,,,,,,,,
acarchae2-180717,20TH CENTURY,,,,,,,,,,,
acarchae2-181041,no period,,,,,,,,,,,
acarchae2-181128,ROMAN,,,,,,,,,,,
acarchae2-182266,no period,,,,,,,,,,,
acarchae2-182657,no period,,,,,,,,,,,
acarchae2-182707,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
acarchae2-183103,no period,,,,,,,,,,,
acarchae2-183140,no period,,,,,,,,,,,
acarchae2-183398,UNCERTAIN,,,,,,,,,,,
acarchae2-184123,POST MEDIEVAL,,,,,,,,,,,
acarchae2-184402,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
acarchae2-184721,no period,,,,,,,,,,,
acarchae2-184754,no period,,,,,,,,,,,
acarchae2-184854,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
acarchae2-185699,POST MEDIEVAL,,,,,,,,,,,
acarchae2-186120,POST MEDIEVAL,,,,,,,,,,,
acarchae2-186270,no period,,,,,,,,,,,
acarchae2-186272,MEDIEVAL,,,,,,,,,,,
acarchae2-186788,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
acarchae2-186894,ROMAN,,,,,,,,,,,
acarchae2-187244,no period,,,,,,,,,,,
acarchae2-187618,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
acarchae2-189569,UNCERTAIN,,,,,,,,,,,
acarchae2-189734,UNCERTAIN,,,,,,,,,,,
acarchae2-189762,no period,,,,,,,,,,,
acarchae2-189977,no period,,,,,,,,,,,
acarchae2-190006,no period,,,,,,,,,,,
acarchae2-190559,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
acarchae2-190685,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
acarchae2-190944,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
acarchae2-191248,no period,,,,,,,,,,,
acarchae2-191466,MEDIEVAL,POST MEDIEVAL,,,,,,,,,,
acarchae2-191579,UNCERTAIN,,,,,,,,,,,
acarchae2-191631,no period,,,,,,,,,,,
acarchae2-192522,POST MEDIEVAL,,,,,,,,,,,
acarchae2-192970,no period,,,,,,,,,,,
acarchae2-193050,POST MEDIEVAL,,,,,,,,,,,
acarchae2-193070,POST MEDIEVAL,,,,,,,,,,,
acarchae2-193532,no period,,,,,,,,,,,
acarchae2-193674,no period,,,,,,,,,,,
acarchae2-193757,UNCERTAIN,,,,,,,,,,,
acarchae2-194557,no period,,,,,,,,,,,
acarchae2-196313,POST MEDIEVAL,,,,,,,,,,,
acarchae2-198105,no period,,,,,,,,,,,
acarchae2-198129,no period,,,,,,,,,,,
acarchae2-198493,UNCERTAIN,,,,,,,,,,,
acarchae2-199200,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
acarchae2-200864,no period,,,,,,,,,,,
acarchae2-202486,no period,,,,,,,,,,,
acarchae2-203221,POST MEDIEVAL,,,,,,,,,,,
acarchae2-203662,20TH CENTURY,,,,,,,,,,,
acarchae2-203749,no period,,,,,,,,,,,
acarchae2-204483,no period,,,,,,,,,,,
acarchae2-204908,POST MEDIEVAL,,,,,,,,,,,
acarchae2-205026,EARLY MEDIEVAL,MEDIEVAL,,,,,,,,,,
acarchae2-205212,no period,,,,,,,,,,,
acarchae2-205951,no period,,,,,,,,,,,
acarchae2-206270,no period,,,,,,,,,,,
acarchae2-206551,no period,,,,,,,,,,,
acarchae2-206905,no period,,,,,,,,,,,
acarchae2-207674,no period,,,,,,,,,,,
acarchae2-209594,POST MEDIEVAL,,,,,,,,,,,
acarchae2-209772,POST MEDIEVAL,,,,,,,,,,,
acarchae2-209995,POST MEDIEVAL,,,,,,,,,,,
acarchae2-210039,no period,,,,,,,,,,,
acarchae2-210300,LATER PREHISTORIC,,,,,,,,,,,
acarchae2-210924,no period,,,,,,,,,,,
acarchae2-211401,no period,,,,,,,,,,,
acarchae2-213304,UNCERTAIN,,,,,,,,,,,
acarchae2-213823,POST MEDIEVAL,,,,,,,,,,,
acarchae2-215082,EARLY MEDIEVAL,IRON AGE,,,,,,,,,,
acarchae2-215666,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
acarchae2-216456,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
acarchae2-216514,no period,,,,,,,,,,,
acarchae2-217099,MEDIEVAL,,,,,,,,,,,
acarchae2-217283,POST MEDIEVAL,,,,,,,,,,,
acarchae2-217752,POST MEDIEVAL,,,,,,,,,,,
acarchae2-218263,POST MEDIEVAL,,,,,,,,,,,
acarchae2-218386,POST MEDIEVAL,,,,,,,,,,,
acarchae2-219251,no period,,,,,,,,,,,
acarchae2-219363,POST MEDIEVAL,,,,,,,,,,,
acarchae2-219412,POST MEDIEVAL,,,,,,,,,,,
acarchae2-219564,no period,,,,,,,,,,,
acarchae2-220004,MEDIEVAL,,,,,,,,,,,
acarchae2-220984,POST MEDIEVAL,,,,,,,,,,,
acarchae2-221047,POST MEDIEVAL,,,,,,,,,,,
acarchae2-221593,no period,,,,,,,,,,,
acarchae2-223147,no period,,,,,,,,,,,
acarchae2-223452,POST MEDIEVAL,,,,,,,,,,,
acarchae2-225010,no period,,,,,,,,,,,
acarchae2-225084,POST MEDIEVAL,,,,,,,,,,,
acarchae2-225526,no period,,,,,,,,,,,
acarchae2-227724,POST MEDIEVAL,,,,,,,,,,,
acarchae2-227811,no period,,,,,,,,,,,
acarchae2-228824,POST MEDIEVAL,,,,,,,,,,,
acarchae2-229236,MIDDLE BRONZE AGE,POST MEDIEVAL,,,,,,,,,,
acarchae2-229434,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
acarchae2-232693,no period,,,,,,,,,,,
acarchae2-235956,no period,,,,,,,,,,,
acarchae2-236049,no period,,,,,,,,,,,
acarchae2-237255,POST MEDIEVAL,,,,,,,,,,,
acarchae2-238117,POST MEDIEVAL,,,,,,,,,,,
acarchae2-239605,ROMAN,UNCERTAIN,,,,,,,,,,
acarchae2-242348,POST MEDIEVAL,,,,,,,,,,,
acarchae2-245770,no period,,,,,,,,,,,
acarchae2-246266,POST MEDIEVAL,,,,,,,,,,,
acarchae2-247069,no period,,,,,,,,,,,
acarchae2-247718,no period,,,,,,,,,,,
acarchae2-248383,PALAEOLITHIC,,,,,,,,,,,
acarchae2-250519,20TH CENTURY,,,,,,,,,,,
acarchae2-252145,POST MEDIEVAL,,,,,,,,,,,
acarchae2-255398,no period,,,,,,,,,,,
acarchae2-256112,MEDIEVAL,,,,,,,,,,,
acarchae2-256764,no period,,,,,,,,,,,
acarchae2-256776,no period,,,,,,,,,,,
acarchae2-256917,20TH CENTURY,POST MEDIEVAL,,,,,,,,,,
acarchae2-257468,POST MEDIEVAL,,,,,,,,,,,
