oasis ids,period 1,period 2,period 3,period 4,period 5,period 6,period 7,period 8,period 9,period 10,period 11,period 12,Text files
acarchae2-104118,,,,,,,,,,,,,
acarchae2-104740,,,,,,,,,,,,,
acarchae2-104786,,,,,,,,,,,,,
acarchae2-104821,,,,,,,,,,,,,
acarchae2-104840,,,,,,,,,,,,,
acarchae2-105232,,,,,,,,,,,,,
acarchae2-105338,,,,,,,,,,,,,
acarchae2-106186,,,,,,,,,,,,,
acarchae2-107737,,,,,,,,,,,,,
acarchae2-108138,,,,,,,,,,,,,
acarchae2-108625,,,,,,,,,,,,,
acarchae2-108688,,,,,,,,,,,,,
acarchae2-111382,,,,,,,,,,,,,
acarchae2-111515,,,,,,,,,,,,,
acarchae2-111774,,,,,,,,,,,,,
acarchae2-111775,,,,,,,,,,,,,
acarchae2-114017,,,,,,,,,,,,,
acarchae2-114090,,,,,,,,,,,,,
acarchae2-115100,,,,,,,,,,,,,
acarchae2-115179,,,,,,,,,,,,,
acarchae2-115433,,,,,,,,,,,,,
acarchae2-115687,,,,,,,,,,,,,
acarchae2-116501,,,,,,,,,,,,,
acarchae2-117011,,,,,,,,,,,,,
acarchae2-117820,,,,,,,,,,,,,
acarchae2-118626,,,,,,,,,,,,,
acarchae2-118763,,,,,,,,,,,,,
acarchae2-121086,,,,,,,,,,,,,
acarchae2-124323,,,,,,,,,,,,,
acarchae2-127012,,,,,,,,,,,,,
acarchae2-127736,,,,,,,,,,,,,
acarchae2-128122,,,,,,,,,,,,,
acarchae2-128123,,,,,,,,,,,,,
acarchae2-128403,,,,,,,,,,,,,
acarchae2-130196,,,,,,,,,,,,,
acarchae2-130222,,,,,,,,,,,,,
acarchae2-131388,,,,,,,,,,,,,
acarchae2-133990,,,,,,,,,,,,,
acarchae2-135144,,,,,,,,,,,,,
acarchae2-135722,,,,,,,,,,,,,
acarchae2-136001,,,,,,,,,,,,,
acarchae2-140032,,,,,,,,,,,,,
acarchae2-141385,,,,,,,,,,,,,
acarchae2-142253,,,,,,,,,,,,,
acarchae2-142452,,,,,,,,,,,,,
acarchae2-145664,,,,,,,,,,,,,
acarchae2-147948,,,,,,,,,,,,,
acarchae2-150170,,,,,,,,,,,,,
acarchae2-150200,,,,,,,,,,,,,
acarchae2-151263,,,,,,,,,,,,,
acarchae2-151651,,,,,,,,,,,,,
acarchae2-151700,,,,,,,,,,,,,
acarchae2-151858,,,,,,,,,,,,,
acarchae2-153198,,,,,,,,,,,,,
acarchae2-155122,,,,,,,,,,,,,
acarchae2-155303,,,,,,,,,,,,,
acarchae2-155819,,,,,,,,,,,,,
acarchae2-156667,,,,,,,,,,,,,
acarchae2-156670,,,,,,,,,,,,,
acarchae2-157003,,,,,,,,,,,,,
acarchae2-159559,,,,,,,,,,,,,
acarchae2-160038,,,,,,,,,,,,,
acarchae2-160360,,,,,,,,,,,,,
acarchae2-160469,,,,,,,,,,,,,
acarchae2-160865,,,,,,,,,,,,,
acarchae2-162404,,,,,,,,,,,,,
acarchae2-163484,,,,,,,,,,,,,
acarchae2-163806,,,,,,,,,,,,,
acarchae2-164054,,,,,,,,,,,,,
acarchae2-164155,,,,,,,,,,,,,
acarchae2-164200,,,,,,,,,,,,,
acarchae2-164474,,,,,,,,,,,,,
acarchae2-166573,,,,,,,,,,,,,
acarchae2-166717,,,,,,,,,,,,,
acarchae2-167350,,,,,,,,,,,,,
acarchae2-169831,,,,,,,,,,,,,
acarchae2-171608,,,,,,,,,,,,,
acarchae2-175324,,,,,,,,,,,,,
acarchae2-175329,,,,,,,,,,,,,
acarchae2-176529,,,,,,,,,,,,,
acarchae2-177092,,,,,,,,,,,,,
acarchae2-179500,,,,,,,,,,,,,
acarchae2-179673,,,,,,,,,,,,,
acarchae2-180555,,,,,,,,,,,,,
acarchae2-181041,,,,,,,,,,,,,
acarchae2-182266,,,,,,,,,,,,,
acarchae2-182657,,,,,,,,,,,,,
acarchae2-183103,,,,,,,,,,,,,
acarchae2-183140,,,,,,,,,,,,,
acarchae2-183398,,,,,,,,,,,,,
acarchae2-184721,,,,,,,,,,,,,
acarchae2-184754,,,,,,,,,,,,,
acarchae2-186270,,,,,,,,,,,,,
acarchae2-187244,,,,,,,,,,,,,
acarchae2-189569,,,,,,,,,,,,,
acarchae2-189734,,,,,,,,,,,,,
acarchae2-189762,,,,,,,,,,,,,
acarchae2-189977,,,,,,,,,,,,,
acarchae2-190006,,,,,,,,,,,,,
acarchae2-191248,,,,,,,,,,,,,
acarchae2-191579,,,,,,,,,,,,,
acarchae2-191631,,,,,,,,,,,,,
acarchae2-192970,,,,,,,,,,,,,
acarchae2-193532,,,,,,,,,,,,,
acarchae2-193674,,,,,,,,,,,,,
acarchae2-193757,,,,,,,,,,,,,
acarchae2-194557,,,,,,,,,,,,,
acarchae2-198105,,,,,,,,,,,,,
acarchae2-198129,,,,,,,,,,,,,
acarchae2-198493,,,,,,,,,,,,,
acarchae2-200864,,,,,,,,,,,,,
acarchae2-202486,,,,,,,,,,,,,
acarchae2-203749,,,,,,,,,,,,,
acarchae2-204483,,,,,,,,,,,,,
acarchae2-205212,,,,,,,,,,,,,
acarchae2-205951,,,,,,,,,,,,,
acarchae2-206270,,,,,,,,,,,,,
acarchae2-206551,,,,,,,,,,,,,
acarchae2-206905,,,,,,,,,,,,,
acarchae2-207674,,,,,,,,,,,,,
acarchae2-210039,,,,,,,,,,,,,
acarchae2-210924,,,,,,,,,,,,,
acarchae2-211401,,,,,,,,,,,,,
acarchae2-213304,,,,,,,,,,,,,
acarchae2-216514,,,,,,,,,,,,,
acarchae2-219251,,,,,,,,,,,,,
acarchae2-219564,,,,,,,,,,,,,
acarchae2-221593,,,,,,,,,,,,,
acarchae2-223147,,,,,,,,,,,,,
acarchae2-225010,,,,,,,,,,,,,
acarchae2-225526,,,,,,,,,,,,,
acarchae2-227811,,,,,,,,,,,,,
acarchae2-232693,,,,,,,,,,,,,
acarchae2-235956,,,,,,,,,,,,,
acarchae2-236049,,,,,,,,,,,,,
acarchae2-245770,,,,,,,,,,,,,
acarchae2-247069,,,,,,,,,,,,,
acarchae2-247718,,,,,,,,,,,,,
acarchae2-255398,,,,,,,,,,,,,
acarchae2-256764,,,,,,,,,,,,,
acarchae2-256776,,,,,,,,,,,,,
acarchae2-259304,,,,,,,,,,,,,
acarchae2-262327,,,,,,,,,,,,,
acarchae2-262544,,,,,,,,,,,,,
acarchae2-266201,,,,,,,,,,,,,
acarchae2-269778,,,,,,,,,,,,,
acarchae2-273807,,,,,,,,,,,,,
acarchae2-274293,,,,,,,,,,,,,
acarchae2-275508,,,,,,,,,,,,,
acarchae2-277404,,,,,,,,,,,,,
acarchae2-52097,,,,,,,,,,,,,
acarchae2-52671,,,,,,,,,,,,,
acarchae2-54014,,,,,,,,,,,,,
acarchae2-57618,,,,,,,,,,,,,
acarchae2-60458,,,,,,,,,,,,,
acarchae2-60539,,,,,,,,,,,,,
acarchae2-62834,,,,,,,,,,,,,
acarchae2-63256,,,,,,,,,,,,,
acarchae2-63503,,,,,,,,,,,,,
acarchae2-63941,,,,,,,,,,,,,
acarchae2-64439,,,,,,,,,,,,,
acarchae2-64867,,,,,,,,,,,,,
acarchae2-64938,,,,,,,,,,,,,
acarchae2-65219,,,,,,,,,,,,,
acarchae2-65519,,,,,,,,,,,,,
acarchae2-66923,,,,,,,,,,,,,
acarchae2-67665,,,,,,,,,,,,,
acarchae2-69094,,,,,,,,,,,,,
acarchae2-69418,,,,,,,,,,,,,
acarchae2-70346,,,,,,,,,,,,,
acarchae2-70350,,,,,,,,,,,,,
acarchae2-70741,,,,,,,,,,,,,
acarchae2-71693,,,,,,,,,,,,,
acarchae2-74164,,,,,,,,,,,,,
acarchae2-74183,,,,,,,,,,,,,
acarchae2-74714,,,,,,,,,,,,,
acarchae2-75023,,,,,,,,,,,,,
acarchae2-76119,,,,,,,,,,,,,
acarchae2-77637,,,,,,,,,,,,,
acarchae2-77776,,,,,,,,,,,,,
acarchae2-78254,,,,,,,,,,,,,
acarchae2-80237,,,,,,,,,,,,,
acarchae2-80472,,,,,,,,,,,,,
acarchae2-81251,,,,,,,,,,,,,
acarchae2-82185,,,,,,,,,,,,,
acarchae2-82481,,,,,,,,,,,,,
acarchae2-82830,,,,,,,,,,,,,
acarchae2-83116,,,,,,,,,,,,,
acarchae2-83503,,,,,,,,,,,,,
acarchae2-84642,,,,,,,,,,,,,
acarchae2-84698,,,,,,,,,,,,,
acarchae2-84708,,,,,,,,,,,,,
acarchae2-84874,,,,,,,,,,,,,
acarchae2-84925,,,,,,,,,,,,,
acarchae2-89941,,,,,,,,,,,,,
acarchae2-91167,,,,,,,,,,,,,
acarchae2-91553,,,,,,,,,,,,,
acarchae2-91554,,,,,,,,,,,,,
acarchae2-92115,,,,,,,,,,,,,
acarchae2-92455,,,,,,,,,,,,,
acarchae2-94050,,,,,,,,,,,,,
acarchae2-96266,,,,,,,,,,,,,
acarchae2-96803,,,,,,,,,,,,,
acarchae2-96905,,,,,,,,,,,,,
acarchae2-97304,,,,,,,,,,,,,
acarchae2-97392,,,,,,,,,,,,,
acarchae2-97627,,,,,,,,,,,,,
acarchae2-98152,,,,,,,,,,,,,
acarchae2-98335,,,,,,,,,,,,,
acarchae2-99527,,,,,,,,,,,,,
acarchae2-99680,,,,,,,,,,,,,
accessca1-196185,,,,,,,,,,,,,
accessca1-243899,,,,,,,,,,,,,
adarchae1-154340,,,,,,,,,,,,,
adarchae1-178892,,,,,,,,,,,,,
adarchae1-185615,,,,,,,,,,,,,
addymana1-113718,,,,,,,,,,,,,
addymana1-123842,,,,,,,,,,,,,
addymana1-128007,,,,,,,,,,,,,
addymana1-131113,,,,,,,,,,,,,
addymana1-148876,,,,,,,,,,,,,
addymana1-153383,,,,,,,,,,,,,
addymana1-156188,,,,,,,,,,,,,
addymana1-159299,,,,,,,,,,,,,
addymana1-180644,,,,,,,,,,,,,
addymana1-180952,,,,,,,,,,,,,
addymana1-211273,,,,,,,,,,,,,
addymana1-224096,,,,,,,,,,,,,
addymana1-230052,,,,,,,,,,,,,
addymana1-93862,,,,,,,,,,,,,
addymana1-93878,,,,,,,,,,,,,
aecernar1-114823,,,,,,,,,,,,,
aeonarch1-162955,,,,,,,,,,,,,
aeonarch1-165225,,,,,,,,,,,,,
aeonarch1-165231,,,,,,,,,,,,,
aeonarch1-171034,,,,,,,,,,,,,
aeonarch1-186281,,,,,,,,,,,,,
aeonarch1-186373,,,,,,,,,,,,,
aeonarch1-202464,,,,,,,,,,,,,
aeonarch1-252333,,,,,,,,,,,,,
aeonarch1-252334,,,,,,,,,,,,,
aeonarch1-252337,,,,,,,,,,,,,
albionar1-100656,,,,,,,,,,,,,
albionar1-103521,,,,,,,,,,,,,
albionar1-104269,,,,,,,,,,,,,
albionar1-107250,,,,,,,,,,,,,
albionar1-107399,,,,,,,,,,,,,
albionar1-107661,,,,,,,,,,,,,
albionar1-107763,,,,,,,,,,,,,
albionar1-109083,,,,,,,,,,,,,
albionar1-109098,,,,,,,,,,,,,
albionar1-109600,,,,,,,,,,,,,
albionar1-110829,,,,,,,,,,,,,
albionar1-114705,,,,,,,,,,,,,
albionar1-115728,,,,,,,,,,,,,
albionar1-120766,,,,,,,,,,,,,
albionar1-120820,,,,,,,,,,,,,
albionar1-121024,,,,,,,,,,,,,
albionar1-122254,,,,,,,,,,,,,
albionar1-125281,,,,,,,,,,,,,
albionar1-12655,,,,,,,,,,,,,
albionar1-126975,,,,,,,,,,,,,
albionar1-128876,,,,,,,,,,,,,
albionar1-129603,,,,,,,,,,,,,
albionar1-131906,,,,,,,,,,,,,
albionar1-131930,,,,,,,,,,,,,
albionar1-13309,,,,,,,,,,,,,
albionar1-135007,,,,,,,,,,,,,
albionar1-135021,,,,,,,,,,,,,
albionar1-135023,,,,,,,,,,,,,
albionar1-135687,,,,,,,,,,,,,
albionar1-138170,,,,,,,,,,,,,
albionar1-139858,,,,,,,,,,,,,
albionar1-14054,,,,,,,,,,,,,
albionar1-14063,,,,,,,,,,,,,
albionar1-14079,,,,,,,,,,,,,
albionar1-14198,,,,,,,,,,,,,
albionar1-142025,,,,,,,,,,,,,
albionar1-143855,,,,,,,,,,,,,
albionar1-14438,,,,,,,,,,,,,
albionar1-144738,,,,,,,,,,,,,
albionar1-144750,,,,,,,,,,,,,
albionar1-146628,,,,,,,,,,,,,
albionar1-149729,,,,,,,,,,,,,
albionar1-151654,,,,,,,,,,,,,
albionar1-152584,,,,,,,,,,,,,
albionar1-153533,,,,,,,,,,,,,
albionar1-154091,,,,,,,,,,,,,
albionar1-15535,,,,,,,,,,,,,
albionar1-15719,,,,,,,,,,,,,
albionar1-157362,,,,,,,,,,,,,
albionar1-157397,,,,,,,,,,,,,
albionar1-158164,,,,,,,,,,,,,
albionar1-161046,,,,,,,,,,,,,
albionar1-16318,,,,,,,,,,,,,
albionar1-16327,,,,,,,,,,,,,
albionar1-16330,,,,,,,,,,,,,
albionar1-163630,,,,,,,,,,,,,
albionar1-16377,,,,,,,,,,,,,
albionar1-16597,,,,,,,,,,,,,
albionar1-166003,,,,,,,,,,,,,
albionar1-166368,,,,,,,,,,,,,
albionar1-166838,,,,,,,,,,,,,
albionar1-170565,,,,,,,,,,,,,
albionar1-17059,,,,,,,,,,,,,
albionar1-17078,,,,,,,,,,,,,
albionar1-171688,,,,,,,,,,,,,
albionar1-172587,,,,,,,,,,,,,
albionar1-175814,,,,,,,,,,,,,
albionar1-181158,,,,,,,,,,,,,
albionar1-181572,,,,,,,,,,,,,
albionar1-188917,,,,,,,,,,,,,
albionar1-190819,,,,,,,,,,,,,
albionar1-192114,,,,,,,,,,,,,
albionar1-192123,,,,,,,,,,,,,
albionar1-193654,,,,,,,,,,,,,
albionar1-202522,,,,,,,,,,,,,
albionar1-21108,,,,,,,,,,,,,
albionar1-214236,,,,,,,,,,,,,
albionar1-216868,,,,,,,,,,,,,
albionar1-23345,,,,,,,,,,,,,
albionar1-253178,,,,,,,,,,,,,
albionar1-27221,,,,,,,,,,,,,
albionar1-27427,,,,,,,,,,,,,
albionar1-27430,,,,,,,,,,,,,
albionar1-274529,,,,,,,,,,,,,
albionar1-27507,,,,,,,,,,,,,
albionar1-27511,,,,,,,,,,,,,
albionar1-27517,,,,,,,,,,,,,
albionar1-30258,,,,,,,,,,,,,
albionar1-30617,,,,,,,,,,,,,
albionar1-32139,,,,,,,,,,,,,
albionar1-32149,,,,,,,,,,,,,
albionar1-32244,,,,,,,,,,,,,
albionar1-34778,,,,,,,,,,,,,
albionar1-35955,,,,,,,,,,,,,
albionar1-35956,,,,,,,,,,,,,
albionar1-36399,,,,,,,,,,,,,
albionar1-36587,,,,,,,,,,,,,
albionar1-36591,,,,,,,,,,,,,
albionar1-40550,,,,,,,,,,,,,
albionar1-40685,,,,,,,,,,,,,
albionar1-40693,,,,,,,,,,,,,
albionar1-41358,,,,,,,,,,,,,
albionar1-41439,,,,,,,,,,,,,
albionar1-44957,,,,,,,,,,,,,
albionar1-45286,,,,,,,,,,,,,
albionar1-45577,,,,,,,,,,,,,
albionar1-47598,,,,,,,,,,,,,
albionar1-48186,,,,,,,,,,,,,
albionar1-49437,,,,,,,,,,,,,
albionar1-49487,,,,,,,,,,,,,
albionar1-49603,,,,,,,,,,,,,
albionar1-52202,,,,,,,,,,,,,
albionar1-52451,,,,,,,,,,,,,
albionar1-53679,,,,,,,,,,,,,
albionar1-54229,,,,,,,,,,,,,
albionar1-55039,,,,,,,,,,,,,
albionar1-55046,,,,,,,,,,,,,
albionar1-55283,,,,,,,,,,,,,
albionar1-56506,,,,,,,,,,,,,
albionar1-56708,,,,,,,,,,,,,
albionar1-57829,,,,,,,,,,,,,
albionar1-58332,,,,,,,,,,,,,
albionar1-58723,,,,,,,,,,,,,
albionar1-61859,,,,,,,,,,,,,
albionar1-63133,,,,,,,,,,,,,
albionar1-63817,,,,,,,,,,,,,
albionar1-66318,,,,,,,,,,,,,
albionar1-68618,,,,,,,,,,,,,
albionar1-74191,,,,,,,,,,,,,
albionar1-74736,,,,,,,,,,,,,
albionar1-78981,,,,,,,,,,,,,
albionar1-80698,,,,,,,,,,,,,
albionar1-80700,,,,,,,,,,,,,
albionar1-81914,,,,,,,,,,,,,
albionar1-83001,,,,,,,,,,,,,
albionar1-84600,,,,,,,,,,,,,
albionar1-84604,,,,,,,,,,,,,
albionar1-84613,,,,,,,,,,,,,
albionar1-87749,,,,,,,,,,,,,
albionar1-92433,,,,,,,,,,,,,
albionar1-93813,,,,,,,,,,,,,
albionar1-94353,,,,,,,,,,,,,
albionar1-94872,,,,,,,,,,,,,
albionar1-96363,,,,,,,,,,,,,
albionar1-97194,,,,,,,,,,,,,
albionar1-99726,,,,,,,,,,,,,
alderarc1-103000,,,,,,,,,,,,,
alderarc1-107822,,,,,,,,,,,,,
alderarc1-134488,,,,,,,,,,,,,
alderarc1-210966,,,,,,,,,,,,,
alderarc1-77800,,,,,,,,,,,,,
alderarc1-86699,,,,,,,,,,,,,
allenarc1-101515,,,,,,,,,,,,,
allenarc1-102695,,,,,,,,,,,,,
allenarc1-103167,,,,,,,,,,,,,
allenarc1-103458,,,,,,,,,,,,,
allenarc1-104713,,,,,,,,,,,,,
allenarc1-107748,,,,,,,,,,,,,
allenarc1-108156,,,,,,,,,,,,,
allenarc1-108431,,,,,,,,,,,,,
allenarc1-108884,,,,,,,,,,,,,
allenarc1-110067,,,,,,,,,,,,,
allenarc1-110750,,,,,,,,,,,,,
allenarc1-111895,,,,,,,,,,,,,
allenarc1-112017,,,,,,,,,,,,,
allenarc1-112300,,,,,,,,,,,,,
allenarc1-114412,,,,,,,,,,,,,
allenarc1-116249,,,,,,,,,,,,,
allenarc1-116582,,,,,,,,,,,,,
allenarc1-119096,,,,,,,,,,,,,
allenarc1-120401,,,,,,,,,,,,,
allenarc1-123740,,,,,,,,,,,,,
allenarc1-128061,,,,,,,,,,,,,
allenarc1-128721,,,,,,,,,,,,,
allenarc1-130843,,,,,,,,,,,,,
allenarc1-131515,,,,,,,,,,,,,
allenarc1-131640,,,,,,,,,,,,,
allenarc1-132337,,,,,,,,,,,,,
allenarc1-133239,,,,,,,,,,,,,
allenarc1-133490,,,,,,,,,,,,,
allenarc1-134518,,,,,,,,,,,,,
allenarc1-134680,,,,,,,,,,,,,
allenarc1-135067,,,,,,,,,,,,,
allenarc1-135451,,,,,,,,,,,,,
allenarc1-135598,,,,,,,,,,,,,
allenarc1-136465,,,,,,,,,,,,,
allenarc1-139729,,,,,,,,,,,,,
allenarc1-140240,,,,,,,,,,,,,
allenarc1-141034,,,,,,,,,,,,,
allenarc1-143123,,,,,,,,,,,,,
allenarc1-144830,,,,,,,,,,,,,
allenarc1-144945,,,,,,,,,,,,,
allenarc1-145693,,,,,,,,,,,,,
allenarc1-145721,,,,,,,,,,,,,
allenarc1-147766,,,,,,,,,,,,,
allenarc1-148062,,,,,,,,,,,,,
allenarc1-149268,,,,,,,,,,,,,
allenarc1-149305,,,,,,,,,,,,,
allenarc1-150287,,,,,,,,,,,,,
allenarc1-150497,,,,,,,,,,,,,
allenarc1-150550,,,,,,,,,,,,,
allenarc1-153866,,,,,,,,,,,,,
allenarc1-154607,,,,,,,,,,,,,
allenarc1-154883,,,,,,,,,,,,,
allenarc1-154984,,,,,,,,,,,,,
allenarc1-155293,,,,,,,,,,,,,
allenarc1-155670,,,,,,,,,,,,,
allenarc1-155721,,,,,,,,,,,,,
allenarc1-156288,,,,,,,,,,,,,
allenarc1-156614,,,,,,,,,,,,,
allenarc1-158765,,,,,,,,,,,,,
allenarc1-158927,,,,,,,,,,,,,
allenarc1-159441,,,,,,,,,,,,,
allenarc1-159938,,,,,,,,,,,,,
allenarc1-160095,,,,,,,,,,,,,
allenarc1-162630,,,,,,,,,,,,,
allenarc1-164235,,,,,,,,,,,,,
allenarc1-166967,,,,,,,,,,,,,
allenarc1-167155,,,,,,,,,,,,,
allenarc1-168109,,,,,,,,,,,,,
allenarc1-169485,,,,,,,,,,,,,
allenarc1-173177,,,,,,,,,,,,,
allenarc1-176797,,,,,,,,,,,,,
allenarc1-177543,,,,,,,,,,,,,
allenarc1-178639,,,,,,,,,,,,,
allenarc1-179067,,,,,,,,,,,,,
allenarc1-179467,,,,,,,,,,,,,
allenarc1-181953,,,,,,,,,,,,,
allenarc1-182135,,,,,,,,,,,,,
allenarc1-183285,,,,,,,,,,,,,
allenarc1-184591,,,,,,,,,,,,,
allenarc1-185261,,,,,,,,,,,,,
allenarc1-187893,,,,,,,,,,,,,
allenarc1-187984,,,,,,,,,,,,,
allenarc1-190252,,,,,,,,,,,,,
allenarc1-190805,,,,,,,,,,,,,
allenarc1-191028,,,,,,,,,,,,,
allenarc1-191848,,,,,,,,,,,,,
allenarc1-192537,,,,,,,,,,,,,
allenarc1-194278,,,,,,,,,,,,,
allenarc1-196824,,,,,,,,,,,,,
allenarc1-196936,,,,,,,,,,,,,
allenarc1-197693,,,,,,,,,,,,,
allenarc1-198471,,,,,,,,,,,,,
allenarc1-198558,,,,,,,,,,,,,
allenarc1-198902,,,,,,,,,,,,,
allenarc1-205439,,,,,,,,,,,,,
allenarc1-206814,,,,,,,,,,,,,
allenarc1-208488,,,,,,,,,,,,,
allenarc1-208709,,,,,,,,,,,,,
allenarc1-209839,,,,,,,,,,,,,
allenarc1-210145,,,,,,,,,,,,,
allenarc1-210716,,,,,,,,,,,,,
allenarc1-211071,,,,,,,,,,,,,
allenarc1-212057,,,,,,,,,,,,,
allenarc1-222037,,,,,,,,,,,,,
allenarc1-223631,,,,,,,,,,,,,
allenarc1-224542,,,,,,,,,,,,,
allenarc1-22572,,,,,,,,,,,,,
allenarc1-226372,,,,,,,,,,,,,
allenarc1-229470,,,,,,,,,,,,,
allenarc1-230934,,,,,,,,,,,,,
allenarc1-230935,,,,,,,,,,,,,
allenarc1-231292,,,,,,,,,,,,,
allenarc1-233032,,,,,,,,,,,,,
allenarc1-234496,,,,,,,,,,,,,
allenarc1-23635,,,,,,,,,,,,,
allenarc1-246783,,,,,,,,,,,,,
allenarc1-247304,,,,,,,,,,,,,
allenarc1-25693,,,,,,,,,,,,,
allenarc1-25700,,,,,,,,,,,,,
allenarc1-25706,,,,,,,,,,,,,
allenarc1-25710,,,,,,,,,,,,,
allenarc1-259448,,,,,,,,,,,,,
allenarc1-264264,,,,,,,,,,,,,
allenarc1-26458,,,,,,,,,,,,,
allenarc1-27537,,,,,,,,,,,,,
allenarc1-27539,,,,,,,,,,,,,
allenarc1-28060,,,,,,,,,,,,,
allenarc1-28061,,,,,,,,,,,,,
allenarc1-29227,,,,,,,,,,,,,
allenarc1-29539,,,,,,,,,,,,,
allenarc1-30243,,,,,,,,,,,,,
